BranchPredictor,fetchWidth,numFetchBufferEntries,numRasEntries,maxBrCount,decodeWidth,numRobEntries,numIntPhysRegisters,memIssueWidth,intIssueWidth,numLdqEntries,enablePrefetching,enableSFBOpt,numRXQEntries,numRCQEntries,nL2TLBEntries,nL2TLBWays,nICacheWays,nICacheTLBWays,nDCacheWays,nDCacheMSHRs,nDCacheTLBWays,CPI,flush,ICacheMiss,DCacheMiss
1,0,3,2,3,3,3,3,1,3,3,0,1,2,2,3,3,1,0,2,1,0,0.850259571,44259,267,3841
1,0,4,1,2,4,4,4,1,4,2,0,1,0,1,2,0,2,2,1,0,2,0.741199025,44261,265,6096
1,1,5,0,3,4,4,3,0,1,0,1,0,1,0,3,3,0,1,0,2,1,1.034880361,44258,274,21761
1,1,4,0,1,3,3,2,0,4,3,1,0,0,0,1,1,0,2,0,1,2,0.886861486,44265,269,19992
1,0,5,1,0,2,2,1,1,0,3,0,1,1,2,0,2,0,1,1,2,0,1.068524541,44256,263,6155
1,1,3,0,2,1,0,4,0,3,1,1,0,2,1,0,2,1,0,0,0,1,1.020458614,44256,261,20331
1,0,2,1,1,0,1,3,1,2,0,0,1,2,0,1,1,2,0,2,0,0,1.358418018,44253,255,3764
1,1,0,2,0,1,4,0,1,2,1,1,1,0,2,3,0,1,2,2,2,1,1.012270594,44253,260,3989
1,0,1,2,3,0,0,2,1,1,2,0,1,1,1,2,3,2,1,0,0,2,1.381965507,44254,257,17993
1,0,1,0,2,2,1,0,0,4,0,1,0,1,2,3,2,2,0,1,1,2,1.118747723,44253,264,6694
1,1,0,1,3,3,2,4,0,0,1,0,1,1,1,1,3,2,2,1,1,1,1.054366394,44254,261,6185
1,0,2,0,0,4,3,1,1,3,2,1,0,2,1,2,0,0,1,2,1,1,0.825331255,44253,274,4181
1,0,3,1,1,2,0,0,1,3,2,1,0,0,0,1,1,1,2,1,2,2,1.061560447,44253,263,6586
1,0,5,2,1,4,1,4,1,0,3,1,0,0,2,2,1,1,0,2,0,0,1.007673541,44556,266,4294
1,0,4,2,3,1,2,1,0,4,0,0,0,0,0,0,3,1,0,2,2,2,1.079551644,44254,250,3818
1,1,1,1,0,3,3,4,1,1,0,1,0,0,0,0,2,2,2,2,2,0,0.952353159,44253,258,4090
1,0,5,1,2,0,3,2,1,0,1,1,0,2,0,3,1,1,2,1,0,2,1.351941774,44253,265,7104
1,1,4,2,0,0,1,3,1,4,1,1,0,2,2,1,2,0,2,1,2,1,1.335296723,44253,277,6707
1,0,2,0,3,2,4,0,1,1,3,1,1,2,1,0,0,1,0,0,1,1,1.128191916,44257,257,21474
1,0,0,0,2,3,1,1,1,2,2,1,0,1,1,0,3,0,1,0,0,0,1.121352239,44261,268,20276
1,0,3,0,0,4,2,2,1,2,0,1,0,1,1,0,0,0,0,1,2,1,0.926440128,44254,273,6628
1,0,0,1,1,2,3,3,1,3,1,1,0,1,1,2,3,2,0,2,0,2,0.903282026,44256,258,4283
1,0,5,1,1,1,0,3,1,4,2,1,0,0,1,3,0,2,1,2,1,0,0.968569613,44255,266,4145
1,0,2,1,1,1,2,4,1,0,2,1,0,0,0,3,3,0,0,0,0,1,1.140368669,44550,265,19694
1,0,4,1,2,2,0,1,1,2,3,1,0,1,2,3,3,2,2,0,1,0,0.977871782,44263,259,20580
1,0,1,1,3,4,4,0,1,3,0,1,0,2,0,2,2,0,1,2,0,0,1.07449503,44253,271,4538
1,0,3,1,1,0,4,1,1,0,3,1,0,0,1,0,1,2,1,2,1,1,1.335927918,44253,260,4136
1,0,0,1,3,4,1,2,1,3,1,1,0,2,1,1,1,2,0,2,0,0,0.781503775,44255,259,4292
1,0,1,1,2,3,2,3,1,1,3,1,0,0,2,1,0,2,0,2,0,0,0.895545603,44254,257,4193
1,0,2,1,0,3,0,0,1,4,1,1,0,1,1,2,3,2,0,1,0,2,1.084326271,44253,262,7263
1,0,4,1,1,1,3,0,1,0,3,1,0,0,1,2,2,2,1,2,0,0,1.140327631,44253,260,4432
1,0,5,1,0,3,4,0,1,3,1,1,0,0,1,1,1,2,0,2,0,0,1.059617277,44253,262,4474
1,0,0,1,3,0,2,4,1,3,3,1,0,0,1,1,1,2,1,2,0,0,1.336752246,44253,255,4511
1,0,3,1,3,1,1,2,1,4,3,1,0,0,1,2,0,2,0,2,0,0,0.945864894,44253,263,4280
1,0,0,1,3,4,0,3,1,4,3,1,0,0,1,0,2,2,0,2,0,0,0.747242831,44258,257,4226
1,0,4,1,3,2,2,4,1,2,3,1,0,0,1,0,1,2,0,2,0,0,0.900530595,44256,261,4181
1,0,4,1,3,2,2,0,1,3,3,1,0,0,1,0,1,2,0,2,0,0,1.030076067,44253,260,4390
1,0,1,1,3,2,4,2,1,0,3,1,0,0,1,0,1,2,0,2,0,0,1.059005574,44549,257,4267
1,0,4,1,3,2,3,3,1,0,3,1,0,0,1,0,1,2,0,2,0,0,1.058457087,44548,256,4264
1,0,4,1,3,2,3,0,1,2,3,1,0,0,1,0,1,2,0,2,0,0,1.030076067,44253,260,4390
1,0,4,1,3,2,2,0,1,1,3,1,0,0,1,0,1,2,0,2,0,0,1.068449071,44253,262,4423
1,0,0,1,3,2,2,0,1,1,3,1,0,0,1,0,1,2,0,2,0,0,1.068449071,44253,262,4423
1,0,1,1,3,2,2,0,1,2,3,1,0,0,1,0,1,2,0,2,0,0,1.030076067,44253,260,4390
1,0,3,1,3,2,2,0,1,1,3,1,0,0,1,0,1,2,0,2,0,0,1.068449071,44253,262,4423
1,0,5,1,3,2,2,0,1,2,3,1,0,0,1,0,1,2,0,2,0,0,1.030076067,44253,260,4390
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.536152394,44253,264,17772
2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.074065844,44255,260,6722
2,1,2,2,2,2,2,2,0,2,2,1,0,2,2,2,2,2,2,2,2,2,1.05627192,44253,257,4016
2,0,3,2,3,3,3,3,1,3,3,0,1,2,2,3,3,1,0,2,1,0,1.127346936,44257,260,3729
2,0,4,1,2,4,4,4,1,4,2,0,1,0,1,2,0,2,2,1,0,2,0.983796672,44273,261,6169
2,1,5,0,3,4,4,3,0,1,0,1,0,1,0,3,3,0,1,0,2,1,1.195844717,44257,271,21865
2,1,4,0,1,3,3,2,0,4,3,1,0,0,0,1,1,0,2,0,1,2,1.086217758,44265,272,20045
2,0,5,1,0,2,2,1,1,0,3,0,1,1,2,0,2,0,1,1,2,0,1.21958738,44253,261,6195
2,1,3,0,2,1,0,4,0,3,1,1,0,2,1,0,2,1,0,0,0,1,1.179321428,44256,261,20252
2,0,2,1,1,0,1,3,1,2,0,0,1,2,0,1,1,2,0,2,0,0,1.469297159,44253,253,3731
2,1,0,2,0,1,4,0,1,2,1,1,1,0,2,3,0,1,2,2,2,1,1.161492777,44253,261,4051
2,0,1,2,3,0,0,2,1,1,2,0,1,1,1,2,3,2,1,0,0,2,1.501619983,44255,252,17873
2,0,1,0,2,2,1,0,0,4,0,1,0,1,2,3,2,2,0,1,1,2,1.302789833,44253,256,6751
2,1,0,1,3,3,2,4,0,0,1,0,1,1,1,1,3,2,2,1,1,1,1.18750273,44254,261,6230
2,0,2,0,0,4,3,1,1,3,2,1,0,2,1,2,0,0,1,2,1,1,1.029512461,44253,273,4232
2,0,3,1,1,2,0,0,1,3,2,1,0,0,0,1,1,1,2,1,2,2,1.249271542,44253,259,6546
2,0,5,2,1,4,1,4,1,0,3,1,0,0,2,2,1,1,0,2,0,0,1.130294225,44254,263,4336
2,0,4,2,3,1,2,1,0,4,0,0,0,0,0,0,3,1,0,2,2,2,1.282195574,44253,247,3768
2,1,1,1,0,3,3,4,1,1,0,1,0,0,0,0,2,2,2,2,2,0,1.127264183,44253,257,4043
2,0,5,1,2,0,3,2,1,0,1,1,0,2,0,3,1,1,2,1,0,2,1.465329673,44253,264,7148
2,1,4,2,0,0,1,3,1,4,1,1,0,2,2,1,2,0,2,1,2,1,1.426144463,44253,276,6765
2,0,2,0,3,2,4,0,1,1,3,1,1,2,1,0,0,1,0,0,1,1,1.324634703,44257,259,21362
2,0,0,0,2,3,1,1,1,2,2,1,0,1,1,0,3,0,1,0,0,0,1.290434934,44264,261,20130
2,0,3,0,0,4,2,2,1,2,0,1,0,1,1,0,0,0,0,1,2,1,1.112707621,44255,273,6573
2,0,0,1,1,2,3,3,1,3,1,1,0,1,1,2,3,2,0,2,0,2,1.139153621,44255,255,4290
2,0,5,1,1,1,0,3,1,4,2,1,0,0,1,3,0,2,1,2,1,0,1.171289451,44255,265,4148
2,0,2,1,1,1,2,4,1,0,2,1,0,0,0,3,3,0,0,0,0,1,1.280786832,44260,262,19781
2,0,4,1,2,2,0,1,1,2,3,1,0,1,2,3,3,2,2,0,1,0,1.214240503,44259,259,20471
2,0,1,1,3,4,4,0,1,3,0,1,0,2,0,2,2,0,1,2,0,0,1.223180644,44253,271,4601
2,0,3,1,1,0,4,1,1,0,3,1,0,0,1,0,1,2,1,2,1,1,1.454766691,44253,261,4291
2,0,0,1,3,4,1,2,1,3,1,1,0,2,1,1,1,2,0,2,0,0,1.016418332,44255,259,4305
2,0,1,1,2,3,2,3,1,1,3,1,0,0,2,1,0,2,0,2,0,0,1.135531005,44253,254,4258
2,0,2,1,0,3,0,0,1,4,1,1,0,1,1,2,3,2,0,1,0,2,1.272003981,44254,260,6972
2,0,4,1,1,1,3,0,1,0,3,1,0,0,1,2,2,2,1,2,0,0,1.290931992,44253,254,4496
2,0,5,1,0,3,4,0,1,3,1,1,0,0,1,1,1,2,0,2,0,0,1.252511024,44253,265,4480
2,0,0,1,3,0,2,4,1,3,3,1,0,0,1,1,1,2,1,2,0,0,1.445132305,44253,253,4422
2,0,3,1,3,1,1,2,1,4,3,1,0,0,1,2,0,2,0,2,0,0,1.161401208,44254,260,4253
2,0,0,1,3,4,0,3,1,4,3,1,0,0,1,0,2,2,0,2,0,0,0.988412977,44254,258,4247
2,0,4,1,3,2,2,4,1,2,3,1,0,0,1,0,1,2,0,2,0,0,1.13851284,44256,254,4284
2,0,4,1,3,2,2,0,1,3,3,1,0,0,1,0,1,2,0,2,0,0,1.229702464,44253,256,4450
2,0,1,1,3,2,4,2,1,0,3,1,0,0,1,0,1,2,0,2,0,0,1.210798148,44253,255,4346
2,0,4,1,3,2,3,3,1,0,3,1,0,0,1,0,1,2,0,2,0,0,1.210057004,44253,255,4347
2,0,4,1,3,2,3,0,1,2,3,1,0,0,1,0,1,2,0,2,0,0,1.229702464,44253,256,4450
2,0,4,1,3,2,2,0,1,1,3,1,0,0,1,0,1,2,0,2,0,0,1.248509301,44253,256,4450
2,0,0,1,3,2,2,0,1,1,3,1,0,0,1,0,1,2,0,2,0,0,1.248509301,44253,256,4450
2,0,1,1,3,2,2,0,1,2,3,1,0,0,1,0,1,2,0,2,0,0,1.229702464,44253,256,4450
2,0,3,1,3,2,2,0,1,1,3,1,0,0,1,0,1,2,0,2,0,0,1.248509301,44253,256,4450
2,0,5,1,3,2,2,0,1,2,3,1,0,0,1,0,1,2,0,2,0,0,1.229702464,44253,256,4450
