BranchPredictor,fetchWidth,numFetchBufferEntries,numRasEntries,maxBrCount,decodeWidth,numRobEntries,numIntPhysRegisters,memIssueWidth,memIssueWidth,numLdqEntries,enablePrefetching,enableSFBOpt,numRXQEntries,numRCQEntries,nL2TLBEntries,nL2TLBWays,nICacheWays,nICacheTLBWays,nDCacheWays,nDCacheMSHRs,nDCacheTLBWays,CPI,Power,Area
0,0,0,0,2,0,0,1,0,0,2,1,1,1,2,3,3,1,0,2,1,1,1.383242747,12.049516,5109845.169
0,1,3,0,3,3,2,4,1,0,2,0,0,1,0,3,1,0,2,1,2,2,1.056480642,20.82823,6318622.964
0,0,4,1,2,1,1,4,0,1,0,1,1,2,0,2,0,0,0,2,2,2,1.158961963,14.300877,5359079.574
2,1,1,0,1,2,2,2,0,1,0,0,0,1,2,2,2,2,2,1,2,1,1.19555683,16.092027,5725860.193
0,1,0,0,3,0,1,1,0,0,3,0,0,2,0,1,1,0,2,1,2,0,1.373066163,13.692265,5231262.258
1,0,2,1,0,3,0,2,0,2,3,1,0,0,0,0,0,1,0,0,1,0,1.056960898,16.85995,5560257.955
0,1,3,2,1,1,4,2,0,1,0,0,0,0,1,0,2,2,2,0,2,1,1.146581602,14.151747,5487419.878
0,1,5,2,3,4,4,0,0,2,0,0,1,1,1,3,0,0,2,0,2,0,1.20472943,17.591067,5801853.015
0,1,5,2,1,0,2,2,0,0,1,1,0,1,0,1,1,2,0,1,1,2,1.373471185,13.23927,5345499.686
0,1,2,1,2,4,4,4,0,2,2,0,0,2,2,0,0,2,2,1,2,1,0.933410985,20.96092,6206334.85
2,1,0,0,1,3,2,0,0,3,0,0,0,0,0,2,3,2,1,1,0,0,1.243411569,18.22544,5745584.631
2,0,5,2,0,3,2,0,1,3,3,1,0,1,1,1,0,1,0,2,1,0,1.255647067,17.39706,6061004.111
0,0,5,2,0,0,4,2,0,0,1,1,1,2,0,0,1,2,0,1,1,0,1.393223602,10.72354,5105335.857
0,1,1,1,3,4,4,3,1,4,3,0,0,1,2,2,1,2,2,2,2,1,0.871127143,26.32547,7164345.356
2,0,3,0,1,2,2,4,1,2,3,1,0,1,0,0,2,0,1,1,1,1,1.158328169,16.653243,5854921.183
0,1,5,1,1,0,3,1,1,0,1,1,0,1,0,0,0,0,0,2,2,0,1.369829074,13.415706,5785089.039
0,0,2,0,3,0,2,3,1,0,2,0,0,0,1,1,2,1,2,1,2,2,1.395248069,15.72687,5557195.747
1,0,1,0,3,2,2,0,1,2,1,0,0,2,0,1,0,1,0,1,1,2,1.062652762,17.345191,5795920.386
2,0,3,0,0,2,2,3,1,2,0,1,1,0,2,3,0,2,0,0,1,0,1.290898713,16.49683,5681244.541
0,0,4,1,1,2,2,3,1,2,3,0,1,0,1,1,0,0,1,2,1,1,1.006573741,17.4244,6036433.907
0,0,0,2,3,1,1,3,0,1,0,0,0,1,0,3,1,0,1,2,2,1,1.186796127,15.010337,5396177.123
0,1,3,1,1,4,4,3,1,1,0,0,1,0,2,1,3,2,0,1,0,1,1.009206538,19.52264,6246115.033
1,1,4,2,1,1,4,4,1,1,1,1,1,2,1,1,2,1,1,2,1,2,0.901270258,23.1677,6508132.226
0,1,1,2,2,4,4,1,0,1,2,0,0,1,2,3,0,1,0,0,2,1,1.028062213,18.94242,5860111.718
0,1,5,2,3,4,4,2,0,0,2,1,1,1,2,0,1,0,1,1,2,2,1.098250827,20.65505,6000333.608
0,0,3,1,2,3,0,1,0,3,2,1,1,2,0,1,0,0,1,0,0,2,1.162371462,15.852082,5361874.476
0,0,3,0,1,3,1,1,0,2,3,0,0,1,0,2,2,2,0,0,1,0,1.142767638,15.085627,5506924.571
0,1,4,1,2,2,2,3,0,2,2,1,0,2,1,1,0,0,1,2,0,0,0.941006416,17.04171,5732307.659
2,0,0,2,3,1,3,4,1,1,2,1,0,2,1,2,0,2,2,1,0,1,1.19389375,16.02183,5893738.105
2,0,5,1,2,0,1,3,0,0,0,1,0,2,0,3,2,1,1,0,0,2,1.535587485,12.124748,4961528.683
1,1,3,2,0,3,1,3,0,3,3,0,0,0,0,1,2,1,2,0,1,0,0.899438615,23.637152,6226155.257
0,1,1,1,3,2,2,4,1,2,1,1,0,1,2,0,2,1,2,1,2,0,0.921701316,19.034076,6225811.769
1,1,1,2,2,3,1,1,0,3,0,0,0,1,0,2,2,2,2,2,1,2,0.977293103,23.836705,6336587.928
1,0,4,2,1,1,3,1,1,1,3,0,1,1,1,3,0,2,2,0,2,1,1.026717603,18.02721,5805039.864
2,0,2,0,3,3,3,2,1,1,1,0,0,1,0,0,2,0,0,2,1,0,1.149763987,17.5764,6153531.118
0,1,3,1,3,3,2,0,0,0,3,1,1,2,0,1,3,2,0,1,2,0,1.22500083,17.343398,5912604.513
0,1,1,0,0,4,4,0,0,0,0,0,0,1,1,2,0,2,0,1,1,1,1.295649737,13.204478,5605804.562
1,0,0,0,1,0,0,0,0,0,3,1,0,2,2,0,2,0,2,0,2,2,1.407625119,13.524002,5003452.885
0,1,2,0,2,3,2,1,1,3,0,0,1,2,1,3,3,2,1,2,1,1,0.997118562,19.9369,6493470.904
1,0,3,0,2,0,1,3,0,0,1,0,0,2,1,3,1,1,2,2,1,1,1.338806332,15.23087,5398285.422
0,0,2,0,0,0,4,0,1,0,2,1,1,2,0,1,2,1,0,2,0,1,1.376292438,11.45278,5444312.712
0,1,2,2,0,0,1,4,1,0,1,0,0,2,1,0,1,2,1,0,2,0,1.380320149,14.19479,5591470.506
0,0,1,0,3,0,2,3,0,0,3,1,1,0,0,1,0,2,2,1,1,1,1.393435875,14.143387,5292833.63
1,1,4,1,2,0,0,3,0,0,2,0,1,1,1,2,1,0,0,2,1,2,1.329554335,23.06657,5829144.634
0,1,4,2,0,0,4,2,1,0,3,1,1,0,0,3,0,1,0,2,1,0,1.359129929,15.45966,5976829.666
0,1,2,1,1,0,2,3,0,0,0,1,1,1,2,2,1,0,2,0,2,2,1.404500884,13.71542,5190242.669
0,1,4,0,1,4,4,1,0,2,3,0,1,0,1,1,1,1,2,2,0,0,0.957016948,17.94884,5968939.05
2,0,5,1,0,3,1,3,0,2,1,1,1,0,2,3,3,1,0,0,2,1,1.235945419,24.2733,5697996.675
1,0,5,2,2,2,2,2,0,2,1,1,1,1,1,2,0,0,0,1,1,0,0.934498177,16.280351,5539446.027
1,1,5,0,1,4,4,2,1,0,1,0,1,2,0,3,2,0,2,1,1,1,1.019999101,22.21988,6456874.082
2,0,5,0,1,2,2,0,0,1,0,0,1,1,0,2,2,1,2,1,0,0,1.317996087,12.43869,5121297.049
2,0,0,0,2,0,4,2,0,0,1,1,0,1,0,1,3,1,2,1,1,0,1.462699531,11.6912,5018331.801
0,1,3,2,0,1,2,4,0,1,3,1,1,1,1,1,0,0,2,2,2,1,0.964424512,14.676312,5641145.214
0,1,1,1,0,4,4,4,0,1,1,1,1,0,1,3,3,2,0,0,0,0,0.992370546,15.205806,5876141.391
2,1,0,2,1,1,3,1,0,1,3,1,1,0,1,3,1,0,2,0,2,0,1.135734758,16.6299,5453519.34
0,1,4,2,3,0,2,2,1,0,3,1,1,0,2,0,0,1,0,1,2,1,1.360121196,15.838237,5806378.95
0,0,2,0,0,0,4,0,0,0,1,0,0,0,2,3,1,0,2,1,2,0,1.404590726,11.330108,4941983.392
1,1,4,2,3,2,2,2,1,2,1,0,1,2,0,0,1,2,0,2,0,0,0.804705556,23.439519,6739779.528
1,0,5,2,3,3,2,2,1,0,3,0,0,2,0,3,3,1,1,2,0,1,1.04773998,20.71624,6465517.008
0,0,4,0,0,3,2,0,0,1,2,1,0,1,1,2,2,2,0,1,1,1,1.265138816,12.839212,5413982.121
1,1,5,1,0,0,0,4,1,0,2,0,1,2,2,3,1,1,0,0,2,0,1.332223199,18.83311,5974231.638
1,1,1,1,1,2,2,0,0,2,2,0,1,2,1,1,0,0,0,0,1,2,1.0733582,19.817466,5746110.37
2,1,0,0,2,1,2,1,1,1,1,1,1,0,1,3,0,0,1,0,0,1,1.129822982,14.517792,5536919.397
1,1,3,2,0,0,4,2,1,0,2,1,1,1,1,1,1,0,0,1,2,2,1.321636514,20.92132,5987035.696
1,1,2,0,3,0,2,4,1,0,3,1,0,1,2,0,0,1,2,2,0,2,1.329765118,20.035998,6396740.374
2,0,3,0,0,0,2,3,0,0,1,0,1,1,1,0,1,0,1,1,0,1,1.460186826,10.357366,4876046.715
1,0,1,0,3,3,3,1,0,3,1,0,0,2,0,0,2,2,0,0,1,2,1.021301656,20.0166,5861432.668
2,0,1,1,1,3,0,3,0,3,2,1,1,1,2,3,0,1,2,1,0,2,1.225739623,25.68569,5755152.755
0,1,5,0,0,4,4,3,0,2,2,1,1,1,2,1,0,0,2,1,0,2,0.914604523,17.74035,5761668.894
0,1,3,1,0,3,1,4,1,3,1,1,1,1,0,1,1,2,1,0,2,2,0.937007043,18.624946,6301287.353
1,0,2,2,3,2,2,3,0,1,2,1,0,1,2,1,0,1,1,1,0,0,0.969077315,23.38492,5704665.791
1,1,2,0,1,1,2,0,1,1,0,1,1,0,1,1,1,2,2,1,0,0,1.05638073,18.219009,6026543.854
1,1,1,2,2,4,4,3,0,0,2,0,0,0,0,0,1,1,0,1,2,2,1.05190976,24.35773,6295617.882
1,0,4,0,0,2,2,0,1,0,2,1,1,2,1,3,3,2,1,1,0,0,1.166804951,15.88345,5753835.333
1,1,3,1,0,3,3,3,1,2,1,1,0,1,0,1,2,1,2,0,0,0,0.867313427,21.42585,6284688.928
