BranchPredictor,fetchWidth,numFetchBufferEntries,numRasEntries,maxBrCount,decodeWidth,numRobEntries,numIntPhysRegisters,memIssueWidth,memIssueWidth,numLdqEntries,enablePrefetching,enableSFBOpt,numRXQEntries,numRCQEntries,nL2TLBEntries,nL2TLBWays,nICacheWays,nICacheTLBWays,nDCacheWays,nDCacheMSHRs,nDCacheTLBWays,CPI,Power,Area
0,1,1,0,3,4,4,4,1,4,0,1,0,1,2,3,3,1,2,0,0,1,1.06218133,23.67534,6431092.387
0,0,2,2,0,1,2,3,1,1,1,0,0,1,2,1,3,1,0,0,2,1,1.120213467,13.373831,5419285.423
0,0,5,2,3,0,3,4,1,0,0,0,0,1,2,3,3,1,0,0,1,1,1.461596268,17.47798,5476951.061
0,1,1,2,0,1,2,1,1,1,3,0,0,0,2,3,1,2,1,2,0,0,0.968724876,15.017052,6114908.055
1,1,3,0,3,3,3,0,0,3,0,1,1,0,2,3,0,1,0,2,2,1,1.056750857,26.59847,6391910.196
1,1,5,1,3,1,2,3,0,1,2,1,0,0,2,0,0,0,0,2,1,0,0.928959597,23.27606,6028344.482
2,0,5,0,0,1,3,4,1,1,1,1,0,1,1,0,2,0,2,2,0,1,1.173319038,15.312398,5753674.936
0,1,4,1,3,1,0,2,1,1,2,1,0,0,1,0,2,2,0,1,2,2,1.010640436,18.20992,5995770.095
0,1,4,2,2,3,1,1,1,3,0,0,0,0,1,1,1,0,1,2,2,1,1.020548778,20.17217,6245134.086
0,1,4,1,1,3,1,3,0,1,0,1,0,0,2,2,0,0,1,1,0,1,1.082187741,14.292873,5531868
0,1,0,2,0,3,0,4,0,1,0,0,0,2,1,1,3,2,0,0,0,2,1.134913006,15.27895,5602391.192
0,0,2,0,0,0,2,0,1,0,0,0,1,1,1,1,3,1,2,1,1,1,1.407012287,10.844777,5085556.802
1,1,0,2,1,3,1,4,0,3,3,0,0,2,0,3,2,0,2,1,0,2,0.872406949,25.45323,6252892.876
1,1,2,2,3,2,2,3,0,2,0,1,0,2,0,2,3,1,0,1,1,2,1.004150961,23.61936,6089621.705
0,1,2,1,1,4,4,1,0,1,3,1,1,2,0,1,2,0,1,1,1,0,0.972415266,18.03853,5786164.447
0,1,0,0,2,0,2,0,1,0,3,1,0,1,1,1,2,2,1,1,0,0,1.37635919,14.578495,5622046.813
2,0,3,2,1,0,4,3,1,0,1,1,1,0,1,2,3,2,0,1,1,0,1.457278108,16.85325,5623749.841
2,0,4,1,3,3,3,4,1,1,1,0,1,1,0,3,0,2,0,1,0,0,1.214613346,24.86752,6302872.251
2,0,5,0,2,2,2,1,0,2,1,0,1,2,0,2,2,0,2,0,1,0,1.239808058,14.84686,5230309.811
1,1,3,0,3,0,2,4,1,0,2,1,1,0,0,3,0,0,1,1,0,2,1.32232763,21.40195,6063676.065
1,1,1,1,2,1,3,2,0,1,3,1,0,0,1,2,2,1,0,0,1,2,0.950446887,25.56902,5955111.263
1,0,5,2,0,1,4,4,0,1,0,1,0,0,0,0,3,1,2,2,2,0,1.073247444,18.4145,5623620.891
1,0,0,1,2,1,4,0,0,1,3,1,1,2,1,3,0,0,1,1,2,2,1.112509968,16.548913,5441448.171
2,0,3,0,3,2,2,1,1,2,1,0,0,2,1,3,2,0,1,1,2,0,1.168969186,15.972072,5757616.296
0,1,0,2,0,1,1,2,1,1,1,1,0,1,1,1,1,0,2,2,0,2,0.975681071,15.67024,5781127.854
0,1,3,2,2,0,4,4,1,0,1,1,0,0,1,1,0,2,0,1,0,1,1.370582126,16.21014,5842365.015
1,1,1,2,1,4,4,2,1,3,2,0,1,1,1,2,2,2,2,0,2,1,0.806169212,27.56163,6782745.483
0,1,1,0,3,2,2,0,0,2,3,1,1,1,1,0,1,0,0,2,1,0,1.077324735,22.57631,5773711.063
2,1,1,0,0,4,4,2,1,3,1,1,1,1,1,3,1,0,0,2,1,0,1.019931595,22.96458,6478649.173
1,0,2,1,1,1,3,2,0,1,2,1,1,1,2,3,2,1,0,2,1,2,0.957866589,16.815825,5591238.084
0,0,1,2,3,3,3,1,1,3,1,1,1,2,2,0,0,2,2,2,0,0,1.017728383,19.23207,6276130.936
0,0,1,0,3,1,2,1,0,0,0,0,0,1,1,0,2,0,0,0,1,1,1.31590702,12.284953,4925377.664
0,0,2,2,0,0,4,0,1,0,0,0,0,0,1,3,0,2,2,0,2,0,1.465541072,11.536489,5228093.703
0,1,3,1,2,4,4,2,1,1,1,1,0,1,2,2,2,2,1,2,2,1,0.917049693,19.204281,6706953.1
1,0,1,2,1,1,1,0,0,0,1,0,1,1,0,2,1,1,1,0,1,1,1.238740854,12.390345,5112143.277
0,0,1,2,1,2,2,1,1,2,1,0,1,2,0,1,0,2,2,2,0,1,1.010474447,14.408651,5952184.305
2,0,1,0,2,3,0,4,0,3,1,1,0,2,1,3,0,1,2,1,1,0,1.240533676,17.9444,5777704.585
1,0,0,0,3,3,2,3,0,3,2,0,1,2,2,2,3,2,0,1,2,2,1.009670777,23.56914,6235349.362
1,1,4,1,0,2,2,0,1,2,3,0,0,1,1,1,3,0,1,1,0,1,1.011699501,22.03581,6062926.542
0,0,5,1,2,2,2,4,1,1,1,0,0,2,1,2,1,2,0,0,0,1,1.119195116,15.54907,5742379.957
0,0,3,0,0,1,3,3,1,0,0,1,0,1,0,0,3,1,2,2,2,2,1.216462247,14.084842,5746216.454
2,0,0,2,1,3,3,0,1,1,2,0,1,0,2,0,1,1,0,2,1,1,1.310759553,15.451057,5979555.801
0,1,3,1,1,0,0,4,0,0,2,0,0,1,0,1,1,0,2,2,0,2,1.372010511,13.255207,5281734.727
0,1,4,0,0,0,4,4,0,0,2,0,0,0,1,1,0,1,2,2,1,0,1.37210626,13.200069,5402868.619
1,1,4,1,1,3,2,1,1,3,2,1,1,0,2,3,3,0,2,2,2,0,0.802901816,27.63463,6846360.823
1,1,5,0,3,2,2,2,1,1,1,0,0,1,2,0,1,2,1,2,2,0,0.843636852,26.4189,6745756.678
1,1,0,1,2,1,2,4,1,1,2,0,0,1,1,0,2,0,2,1,0,0,0.902662069,22.94593,6199108.209
0,1,3,2,3,1,3,4,1,1,2,1,0,1,2,1,3,1,2,1,1,1,0.961109813,18.84386,6051979.103
1,0,3,2,3,1,0,0,1,1,3,1,1,0,1,3,2,2,0,2,0,0,1.039291935,17.37367,6103076.044
1,1,4,0,2,3,3,2,1,3,2,0,0,0,0,2,0,1,2,2,2,2,0.780073558,29.15315,7023240.833
1,0,2,0,0,2,2,1,1,2,1,0,1,1,2,1,2,0,1,1,1,0,0.909030119,17.503714,5673182.871
1,0,3,2,2,3,3,0,0,2,2,0,0,2,1,1,0,0,2,2,2,2,1.10444155,18.88582,5831132.944
2,0,1,2,3,1,1,2,1,1,2,1,1,2,2,3,3,2,1,2,2,1,1.163559157,20.9601,6245160.691
0,1,4,2,1,4,4,0,1,0,0,0,1,2,0,3,3,0,1,1,1,1,1.258141636,15.481844,5859727.237
1,0,2,0,3,0,0,3,0,0,0,1,0,0,2,3,1,0,2,1,0,1,1.377200065,16.95984,5187872.642
1,1,4,1,0,4,4,0,0,4,2,0,1,0,1,3,2,1,1,1,2,0,1.107390461,26.22789,6310964.409
2,0,1,1,1,0,3,1,0,0,1,1,1,2,0,2,0,2,0,1,0,2,1.458849953,11.539183,5078836.728
1,0,2,2,1,3,3,4,1,3,3,1,1,1,2,0,3,2,2,1,2,0,0.874002315,22.82875,6587340.423
1,0,5,1,2,1,3,3,0,1,1,0,1,2,1,2,0,0,2,0,0,0,1.032211262,15.927799,5305181.913
1,1,1,0,3,4,4,0,1,1,0,1,1,1,0,0,3,0,2,2,0,0,1.115754406,22.988174,6630271.928
2,0,0,1,3,2,2,2,0,0,1,0,1,0,2,3,2,1,2,0,2,1,1.2955909,14.635932,5388319.001
1,0,2,0,3,1,3,2,0,1,1,0,1,1,0,1,1,1,0,0,0,2,1.032307221,14.930099,5341249.158
2,0,2,0,2,0,1,0,0,0,3,1,0,2,1,2,0,2,1,1,1,0,1.468709615,11.877763,5099921.545
0,1,5,0,0,0,1,0,1,0,0,1,0,2,0,0,0,0,2,2,0,1,1.3899813,11.690333,5517094.11
1,0,1,0,2,2,2,2,1,1,3,1,1,0,1,1,3,2,2,2,1,0,0.89660325,20.24215,6367046.936
1,1,1,0,0,1,0,2,1,1,2,0,1,0,0,1,2,1,2,2,1,0,0.920939502,20.733872,6370944.61
1,1,3,2,0,4,4,2,0,4,0,0,1,0,0,3,3,0,0,0,2,2,0.990193224,26.1646,6224356.192
0,1,2,1,1,3,0,0,0,3,2,0,0,2,2,1,0,1,0,1,1,1,1.138332421,16.68771,5628503.23
0,1,3,0,3,2,2,3,0,0,1,1,0,0,2,2,2,2,2,0,1,1,1.14168857,16.62193,5667424.798
1,0,4,1,0,2,2,0,0,2,3,1,0,1,2,1,0,1,0,0,2,2,1.166794438,16.122748,5406814.559
0,0,5,2,1,3,0,1,0,1,3,0,0,1,1,2,2,1,1,0,1,1,1.18563182,16.07016,5396155.449
1,0,0,0,0,0,2,0,0,0,1,1,0,1,1,0,1,0,1,1,0,0,1.359309635,12.91074,4924993.029
0,1,1,0,3,4,4,3,0,2,2,0,0,0,0,1,3,0,2,2,0,0,0.930791772,20.91039,6125611.976
2,0,2,2,0,3,1,2,1,1,2,1,1,2,0,1,0,2,2,1,0,2,1.152083522,14.295959,5876759.219
0,0,0,2,2,2,2,0,1,2,0,0,0,1,1,1,0,0,2,1,2,2,1.180958604,14.097411,5513142.232
1,1,2,0,0,0,1,4,0,0,0,1,0,2,1,3,3,0,0,0,0,1,1.382234996,16.593744,5391577.497
2,0,2,2,2,0,3,0,1,0,3,1,1,2,0,2,2,1,0,0,0,0,1.509283421,13.584467,5180676.825
1,0,2,1,0,1,4,3,0,0,3,1,0,0,2,2,1,2,1,2,0,2,1.102515731,16.06925,5648458.302
1,0,5,2,2,0,2,3,1,0,2,0,1,1,2,1,3,2,2,2,2,2,1.327241971,17.49579,6101697.855
1,1,4,1,2,1,1,1,0,1,2,0,1,1,0,3,3,2,2,1,1,1,0.932625113,18.962774,5908103.322
2,1,1,0,1,4,4,4,0,4,1,1,0,0,2,1,3,2,2,1,1,1,1.070733328,21.58048,6240159.32
0,1,1,1,3,4,4,0,0,0,2,1,0,1,2,0,1,1,2,2,0,1,1.274272391,17.50037,5824801.658
1,1,2,2,3,4,4,4,1,2,1,0,1,1,2,2,3,2,1,0,0,1,0.841817213,28.08002,6837021.528
1,0,5,2,0,2,2,4,1,2,3,0,1,1,0,0,2,2,2,2,0,0,0.879184465,19.86216,6388198.969
0,1,1,1,0,1,4,1,0,1,3,1,0,0,2,0,3,0,1,2,1,0,0.995905811,16.85572,5542351.836
0,0,0,1,0,3,0,1,0,3,3,0,0,2,1,3,1,1,1,1,1,2,1.24020203,15.63077,5521207.644
0,0,0,2,3,3,0,3,1,0,2,0,1,0,1,1,3,1,0,2,1,2,1.242908005,17.211376,6178173.635
2,1,1,0,0,2,2,4,0,0,0,1,1,0,1,0,3,1,1,1,1,0,1.270769955,15.65207,5458490.09
1,1,0,2,2,0,2,0,1,0,3,1,1,2,0,1,3,1,2,1,2,1,1.331989818,19.909737,6027794.142
1,0,1,1,0,0,3,4,1,0,0,1,0,0,0,1,0,2,1,1,0,1,1.372549222,14.341178,5566754.241
1,0,2,1,0,1,1,2,0,1,2,0,0,0,1,2,2,2,2,1,0,1,0.990817533,14.839916,5410603.278
0,0,0,2,0,2,2,2,1,0,0,1,1,0,1,1,0,2,0,1,2,0,1.207334743,14.01937,5629510.72
0,0,4,0,0,3,2,1,0,1,0,1,0,0,0,2,0,2,2,1,1,0,1.214108735,14.29287,5364506.847
2,0,5,2,3,1,4,3,1,0,3,1,1,1,2,3,2,1,2,2,0,2,1.226100523,16.77375,6057787.318
0,0,4,0,0,3,0,1,1,0,1,0,1,1,2,2,2,2,2,0,1,0,1.315052701,14.39545,5511092.222
1,1,3,0,0,2,2,1,1,2,3,0,0,0,2,0,2,1,0,2,2,1,0.83152266,23.64366,6557300.943
1,1,1,1,0,4,4,1,0,4,2,1,0,2,0,2,3,1,2,2,2,0,0.898094459,25.69147,6440338.475
0,1,1,0,1,4,4,4,1,3,0,0,0,0,1,3,0,1,1,1,0,0,1.0166395,19.389811,6325807.189
1,1,2,0,3,0,1,2,1,0,2,1,1,1,1,0,0,2,0,0,0,2,1.332487569,18.248165,5934612.32
1,0,1,2,0,1,3,3,1,1,2,1,0,2,2,0,3,0,2,2,0,0,0.950156136,17.1263,5917176.073
1,1,1,1,1,4,4,0,1,2,3,1,0,0,1,1,1,1,1,0,2,2,1.110905954,25.18811,6430554.039
0,0,1,2,3,1,4,1,0,0,0,1,0,1,0,1,3,1,2,0,1,0,1.319317497,12.943453,5048493.492
0,0,0,1,2,3,3,1,0,1,3,0,1,0,0,2,0,0,0,2,1,1,1.084207613,16.080824,5628614.686
1,1,4,1,0,2,2,4,1,2,1,0,0,1,1,3,0,0,0,2,1,0,0.8234597,24.10819,6562473.67
1,1,4,0,2,3,3,2,0,3,1,1,1,0,1,0,1,2,2,2,1,0,0.851654684,36.23318,6617140.464
0,1,4,0,0,4,4,2,1,4,3,0,0,2,1,0,3,2,0,2,1,2,0.884673973,21.84481,6775028.06
0,0,2,1,0,2,2,3,0,1,1,1,0,2,0,1,0,0,0,2,0,1,1.07128106,12.455964,5294701.096
2,1,0,0,3,1,1,0,0,0,3,0,0,0,2,2,0,1,2,1,1,2,1.274558714,14.60415,5470157.825
0,1,0,1,2,0,1,1,1,0,2,1,0,2,1,0,1,1,1,2,0,0,1.369845109,15.60206,5750177.778
2,0,1,2,0,3,0,4,1,2,2,0,1,2,2,2,1,2,0,1,0,0,1.201036329,17.39578,6035480.882
0,1,2,1,0,1,1,4,1,1,1,0,1,1,0,2,2,0,1,1,0,2,0.958401367,14.7653,5670406.242
1,1,1,1,1,2,2,2,1,1,0,0,0,0,1,0,1,2,1,1,2,2,0.974159453,22.84529,6352040.694
0,0,4,0,3,3,3,1,1,0,1,0,1,2,2,0,3,1,0,1,2,2,1.155998161,15.969648,5858779.206
1,1,1,1,0,1,2,2,0,1,2,0,0,0,2,1,0,1,0,1,0,2,0.931622838,18.908499,5710752.608
1,0,2,0,2,3,1,2,0,2,1,1,0,2,2,2,1,2,0,0,1,2,1.014573974,19.05585,5795554.206
0,0,1,0,2,2,2,3,0,1,3,0,1,1,0,0,0,1,1,0,1,1,1.101693139,15.091191,5363594.801
0,0,2,1,2,2,2,3,0,2,3,0,0,2,1,2,0,2,1,0,2,2,1.119270467,16.632223,5621095.22
2,0,0,2,3,1,0,1,1,1,0,1,1,0,0,1,1,1,2,0,1,2,1.340079753,13.500522,5288828.268
1,1,1,2,3,2,2,2,1,1,2,1,0,0,0,2,0,1,1,0,0,2,0.876305641,24.43893,6248479.466
0,1,5,2,0,1,4,0,1,1,2,0,0,2,1,0,2,2,0,2,0,0,1.08073342,13.938396,5992768.61
1,1,5,0,3,4,4,0,1,4,3,0,1,2,0,0,1,2,0,2,0,2,1.05272457,30.31333,7099499.437
1,0,0,0,3,1,1,2,1,1,2,0,0,0,0,3,1,1,0,1,2,1,0.997166236,19.22248,5889316.006
1,0,1,1,2,1,4,3,1,1,2,0,0,2,2,3,0,0,2,0,1,2,1.013798686,17.8919,5711096.72
0,0,5,0,0,1,4,0,0,1,2,0,1,0,0,2,0,0,1,2,2,0,1.150882837,12.898562,5234031.824
0,0,2,2,1,1,3,4,1,1,0,1,1,2,2,3,0,1,1,0,0,0,1.202140115,13.375608,5469798.174
1,0,5,2,0,0,3,0,1,0,0,0,1,1,0,2,3,0,0,2,1,0,1.349435994,12.981869,5549754.646
1,0,3,0,2,1,4,2,1,1,0,1,0,0,2,0,3,2,1,1,1,2,1.064791372,15.89388,5827594.829
2,1,0,1,3,3,1,2,0,3,3,1,1,0,2,2,1,0,1,0,1,1,1.104477099,22.87326,5929340.477
2,0,0,2,2,2,2,3,0,2,1,1,1,0,2,1,2,1,0,2,2,1,1.170525336,17.93799,5673433.437
2,0,5,1,3,3,0,1,0,2,1,1,0,0,1,0,2,1,1,0,0,1,1.293531198,16.54898,5363461.495
0,1,3,1,1,0,4,4,1,0,1,1,1,1,0,1,3,0,0,2,0,0,1.358790938,16.42668,5860662.68
0,1,5,1,1,4,4,4,0,1,3,0,1,0,2,2,2,1,0,0,0,0,0.963420469,19.13237,5929132.166
2,1,1,0,1,4,4,3,0,1,1,1,1,2,1,3,3,2,0,1,0,2,1.075785626,19.32163,5991776.899
2,0,1,1,1,1,4,1,1,1,2,0,0,1,0,0,2,2,0,0,0,1,1.239412685,15.3335,5421709.223
0,1,0,1,3,0,3,4,1,0,1,0,0,0,0,3,1,0,0,2,0,0,1.370548265,17.21119,5940702.104
0,1,5,0,2,2,2,0,1,2,0,0,1,2,0,2,2,0,0,2,1,2,1.064561586,18.77039,5990876.275
0,0,1,2,1,2,2,1,1,0,2,1,0,0,2,1,3,1,1,1,2,0,1.14636983,14.039522,5614755.957
0,0,1,0,0,0,4,1,1,0,1,1,1,1,0,1,0,2,2,0,2,1,1.422476437,13.07075,5291441.349
2,0,4,1,0,0,3,4,1,0,1,1,0,1,0,2,1,1,1,2,1,1,1.455725548,12.592439,5698752.763
0,1,5,1,0,3,0,4,1,0,1,0,1,1,0,3,2,2,1,0,1,2,1.136540399,15.997948,6068540.247
1,0,2,2,2,1,4,3,1,1,1,0,1,0,1,2,2,1,1,0,1,2,0.990770651,15.921612,5705011.023
2,0,2,1,2,1,3,3,1,0,2,1,1,1,0,1,3,2,1,0,0,0,1.285517888,15.38201,5609741.607
1,1,1,0,3,2,2,3,1,2,0,0,0,0,2,1,3,1,1,0,2,1,0.98720965,25.72537,6350456.13
0,1,5,0,2,2,2,0,0,0,2,0,0,1,1,3,0,2,0,2,0,0,1.204570724,14.032572,5696064.134
0,0,5,0,0,3,2,4,1,0,3,1,0,2,2,3,2,1,0,2,0,2,1.119636541,16.85467,6193377.024
0,0,4,2,3,2,2,1,0,0,3,0,1,2,2,2,3,1,1,2,0,2,1.151931857,14.00118,5458191.78
2,0,4,2,1,3,1,4,1,0,0,0,0,2,2,1,1,1,1,2,0,1,1.31863231,15.089833,5978967.757
0,1,2,2,2,4,4,0,1,2,2,0,1,0,2,3,0,1,0,1,0,0,1.123093279,17.342473,6145943.918
0,1,2,2,1,0,2,1,1,0,2,0,1,1,1,3,2,1,2,0,2,2,1.368973506,13.879265,5511186.849
0,1,2,0,2,3,1,4,1,3,2,0,0,2,1,3,3,1,1,1,1,2,0.909547603,21.46381,6463200.372
1,0,5,2,1,3,0,1,1,2,1,0,0,2,2,0,2,2,0,2,1,2,0.941610418,18.50676,6252855.821
0,1,1,2,0,4,4,4,0,4,2,0,0,2,0,0,3,1,2,0,2,2,0.961941228,18.302938,6053355.336
0,1,1,0,3,4,4,1,0,1,2,0,1,2,2,3,2,0,2,1,1,0,0.980213035,17.569883,5877481.737
1,1,1,1,0,4,4,3,1,0,1,0,0,0,1,3,3,1,1,2,1,2,1.020550855,21.250822,6743942.915
1,0,2,2,1,1,4,0,1,0,1,1,0,0,1,1,2,1,2,0,2,1,1.213996381,15.77085,5430970.334
1,0,0,0,3,1,4,2,1,1,3,0,0,1,2,1,2,0,0,1,2,2,0.986309025,19.79941,5924727.761
2,0,3,0,1,0,1,4,0,0,2,0,0,1,2,0,3,1,0,0,1,1,1.500007848,12.312155,5019595.909
1,1,4,2,3,4,4,0,1,3,1,0,0,0,2,2,1,1,2,1,1,0,1.069618102,25.86868,6591561.233
1,1,5,1,2,4,4,2,1,0,3,1,1,2,1,2,3,0,0,0,1,0,1.02315076,24.37254,6474724.388
1,0,5,0,3,1,3,4,1,1,0,1,0,0,0,2,0,1,1,2,0,1,1.034649607,18.32311,6121409.672
1,0,0,0,3,1,4,0,0,1,2,1,1,1,0,1,0,0,2,0,1,2,1.172205506,15.02935,5238478.449
2,0,1,0,0,1,1,0,1,1,1,1,0,1,1,0,3,0,1,2,2,1,1.258103464,13.696523,5553803.081
1,0,3,2,3,0,0,1,1,0,0,0,1,1,1,2,3,1,0,2,0,2,1.347659768,13.941471,5664553.054
0,1,1,1,2,2,2,1,1,2,0,0,1,0,0,3,0,2,0,1,2,0,1.020488464,18.03406,6055080.295
1,0,5,1,2,1,4,2,0,0,1,0,1,2,1,3,0,2,1,1,2,1,1.101185911,15.851267,5656424.99
1,0,5,0,3,1,3,1,0,0,1,1,0,0,0,2,3,2,2,2,0,0,1.097992878,15.180749,5577238.428
2,0,5,2,3,2,2,2,0,0,2,0,1,1,0,2,1,0,2,2,2,2,1.241342743,20.47181,5636023.279
1,0,4,1,3,2,2,4,1,2,2,1,1,1,1,1,1,2,2,1,0,1,0.896798546,20.348071,6229201.069
0,0,4,2,1,2,2,1,1,2,1,1,0,0,1,3,1,1,0,1,0,0,1.06265414,15.347231,5561575.143
2,0,0,1,2,3,0,3,0,1,1,0,1,2,1,2,0,2,1,2,2,0,1.32544911,17.03923,5838213.241
0,1,3,2,3,2,2,1,1,2,2,1,0,2,2,3,3,2,0,1,0,1,0.936851102,18.96538,6111653.214
0,1,2,0,0,4,4,3,0,2,3,0,1,0,2,1,0,0,2,0,1,0,0.94384364,17.96006,5790428.597
0,0,5,2,1,2,2,2,1,2,0,1,0,0,2,1,2,0,1,0,0,1,1.199661792,15.32663,5363069.736
0,1,5,2,1,0,1,1,1,0,2,0,0,1,2,2,2,0,2,2,1,1,1.37043004,13.077953,5747027.767
1,1,1,1,1,4,4,3,0,3,0,1,0,1,2,3,3,0,0,2,2,0,0.958385368,26.39748,6502916.084
1,0,4,0,0,3,0,4,0,0,3,1,0,0,2,1,0,1,0,2,1,2,1.218091001,23.57053,5816549.367
1,0,3,0,3,2,2,0,0,2,1,1,1,2,2,1,0,0,2,1,0,1,1.080318841,16.254704,5385487.287
1,1,3,0,1,4,4,0,1,1,3,0,0,0,2,3,2,2,2,0,1,2,1.147004527,24.38493,6503334.732
1,1,2,1,3,4,4,0,1,3,2,0,1,0,2,3,1,2,1,2,0,2,1.050785006,29.00702,7094864.01
1,1,5,0,0,3,3,1,0,0,2,1,1,2,2,1,0,1,2,0,1,2,1.076435352,19.78752,5900134.947
1,0,0,1,1,0,4,2,0,0,3,0,1,0,1,1,0,0,2,1,0,2,1.346541732,13.95223,5106201.379
0,1,0,0,3,0,4,4,1,0,2,1,0,2,1,2,3,0,0,2,2,1,1.370213602,19.71672,6101628.675
0,1,1,1,3,4,4,3,0,4,0,1,0,1,2,0,3,2,2,2,2,1,1.041647284,21.653439,6506225.261
0,1,2,2,0,1,4,1,0,0,2,0,0,1,0,2,3,1,2,2,1,0,1.122831278,12.963028,5444380.216
2,0,1,1,0,3,2,2,0,3,0,1,0,1,1,2,3,0,1,2,2,2,1.25310386,16.70027,5595556.042
1,1,3,2,0,4,4,1,1,3,2,1,0,2,2,3,1,0,2,2,1,2,0.82267239,24.888698,6797671.837
0,1,5,0,1,4,4,2,0,2,1,0,1,2,0,0,2,1,0,0,1,2,0.970231932,17.65688,5745114.628
0,0,4,2,2,0,3,0,0,0,0,1,1,0,0,2,3,1,0,1,1,2,1.417163015,10.505685,4954455.559
1,0,4,0,2,3,2,4,0,1,1,0,1,0,2,0,3,2,0,1,1,0,1.016011638,18.2115,5871436.369
0,1,3,2,2,3,3,3,0,3,0,0,1,1,1,0,1,0,1,2,1,2,1.033887692,17.363374,5997658.249
1,1,3,1,2,3,0,2,1,0,1,1,1,2,2,2,1,1,0,2,2,2,1.042539104,24.39633,6699609.366
1,1,2,2,2,1,4,4,0,0,3,0,1,0,2,0,2,0,2,0,1,1,1.069819572,20.45618,5795803.864
2,0,0,1,2,1,1,4,1,1,3,0,1,1,0,2,1,1,1,0,1,0,1.228517609,14.810772,5609859.684
0,0,0,2,2,2,2,0,0,2,0,0,1,1,2,3,1,0,0,1,2,1,1.179622499,15.354314,5270599.188
1,1,1,0,0,1,3,4,0,1,0,0,1,0,2,3,0,0,1,1,2,1,1.042086168,19.42118,5803804.854
1,0,0,1,2,2,2,3,1,0,2,1,1,0,1,3,0,2,1,1,1,2,1.05365506,23.98764,6174274.915
2,0,1,2,0,2,2,0,0,2,0,1,1,0,2,3,1,0,1,1,1,0,1.301781912,12.604959,5137437.057
2,0,0,2,2,0,4,3,1,0,0,1,0,0,0,0,0,0,1,2,0,0,1.474118831,12.421699,5522846.118
1,0,1,2,0,3,3,3,1,1,3,0,0,0,2,0,0,0,0,0,2,1,0.965248064,20.24945,5938832.94
1,0,2,1,1,1,4,1,0,1,1,0,0,1,2,2,0,0,1,0,0,2,1.060332389,14.352777,5151267.871
0,1,2,1,3,1,3,1,1,1,0,0,0,0,0,1,0,0,2,2,1,1,1.066326025,15.443426,5886901.861
1,1,3,2,1,1,2,2,0,0,3,1,0,2,1,0,0,2,2,0,1,2,1.080988927,19.65883,5815873.259
2,0,5,2,1,2,2,3,0,0,2,0,0,2,2,1,1,2,0,0,2,1,1.2966584,13.604945,5409970.49
2,1,1,0,1,0,0,4,0,0,2,1,0,2,0,1,2,1,0,1,1,0,1.42270436,14.78812,5278600.083
1,1,4,0,3,3,0,3,1,2,1,1,1,0,0,3,0,1,0,0,0,2,0.925703102,24.501148,6513329.727
1,1,3,0,3,4,4,0,0,2,3,1,1,1,1,1,2,1,0,2,2,1,1.102337591,26.165406,6601051.587
0,0,4,2,2,1,2,2,0,1,2,0,0,1,2,3,0,0,2,1,0,2,1.103640976,16.11466,5245905.823
1,1,1,2,2,4,4,2,1,0,1,0,0,1,0,1,2,0,1,2,2,0,1.025418308,25.12233,6798609.437
2,1,1,0,2,1,0,1,1,0,2,0,1,0,0,2,3,1,0,2,2,1,1.191180708,18.12377,6042703.211
0,1,4,0,2,3,3,2,0,0,0,1,1,2,2,3,0,2,0,0,0,0,1.217561177,14.533662,5690156.302
1,1,5,0,0,4,4,3,1,4,1,1,0,0,2,0,1,1,0,0,0,0,0.857067501,26.65805,6542977.989
1,1,3,0,2,4,4,1,1,2,1,0,1,1,1,2,1,1,1,0,0,2,0.874138965,24.64642,6357672.582
2,0,5,2,2,0,4,0,0,0,3,1,0,1,1,2,3,0,1,2,0,2,1.461641191,13.39555,5120377.402
1,1,5,0,1,2,2,4,1,2,1,1,1,2,2,0,3,1,1,2,0,0,0.804688655,22.568128,6645520.021
0,0,3,1,0,3,1,2,0,3,3,1,0,2,1,2,1,0,0,0,0,2,1.14056098,15.64487,5451153.396
2,0,2,1,1,0,1,1,1,0,0,1,0,2,2,2,2,2,1,1,2,1,1.490635383,13.36017,5429514.311
0,1,4,0,1,3,3,3,0,0,2,1,1,0,2,3,3,1,1,2,2,0,1.093228852,18.34874,5989811.853
0,0,0,0,3,2,2,0,0,1,2,0,1,0,0,0,2,0,1,1,0,0,1.185456724,14.340837,5187343.507
1,0,5,0,0,1,2,4,1,1,3,0,0,2,2,2,1,1,1,2,2,2,0.946776619,16.38723,6211901.816
2,0,2,1,3,0,1,1,1,0,3,1,0,2,0,3,3,1,0,2,0,2,1.448778163,13.9336,5699725.717
1,0,2,2,0,2,2,3,1,2,2,1,1,1,0,3,1,0,0,1,1,2,0.897815696,18.50524,5925761.499
0,1,1,2,3,4,4,3,1,3,0,1,1,0,1,3,2,2,0,0,1,2,1.034898706,22.66967,6507805.502
0,0,2,2,1,3,1,0,1,1,3,0,0,0,1,0,3,0,0,1,0,1,1.199712145,16.031,5593004.911
1,1,3,1,3,4,4,3,1,3,1,1,1,2,0,1,2,1,2,1,1,0,0.77984693,27.893454,6912366.127
2,0,4,0,3,2,2,2,0,2,2,0,0,1,2,3,2,0,1,2,0,2,1.176346708,17.03215,5592095.694
2,0,4,1,0,1,2,3,1,1,2,1,0,1,1,1,3,2,1,2,2,1,1.17995669,14.623496,5992484.007
